intercambiador_id,cantidad_infraestructura,cantidad_modos,modos,nombre_referencias,radio_cluster_m,ferrocarril,subte,autobus,fluvial,tranvia,score_intercambiador
190,5,2,AUTOBUS|FERROCARRIL,Florida | Florida (Mitre) | Estación Florida Mitre,110.6040505391102,1,0,1,0,0,45.0
191,13,2,AUTOBUS|FERROCARRIL,Doctor Cetrángolo | Malaver y Juan B. Justo | Malaver y España | Caseros e Italia | Malaver y Caseros | Malaver y Chacabuco | Malaver y J.M. Paz | Malaver y Ayacucho | España y Malaver,400.23058363295803,1,0,1,0,0,61.0
192,5,2,AUTOBUS|TRANVIA,Somellera | Plaza Carrillo,70.0918032014895,0,0,1,0,1,45.0
193,5,2,AUTOBUS|TRANVIA,Cecilia Grierson,100.55213790509518,0,0,1,0,1,45.0
194,66,2,AUTOBUS|FERROCARRIL,Laferrere | Echeverría y López May | Echeverría y Soberanía Nacional | Luro y Obligado | Andrade y Soberanía Nacional | Plaza Laferrere | Est. Laferrere | Echeverría y Obligado | Piedrabuena y Soberanía Nacional | Vernet y Encina,839.1654482561115,1,0,1,0,0,65.0
195,18,2,AUTOBUS|FERROCARRIL,González Catán | Ruta 21 | Estación González Catán | Ruta 21 y Valle | Ruta 21 y Melián | Simón Pérez y Posamay | Posamay y Puerto Argentino | Posamay y Equiza | Valle y Ruta 21 | Ruta 21 y Larre,390.84238042207124,1,0,1,0,0,65.0
196,7,2,AUTOBUS|FERROCARRIL,Pilar | Estación Pilar | Pilar Sector Tomás Márquez | Pilar (San Martín) | Estación Pilar Sector Playon,152.51517227643737,1,0,1,0,0,49.0
197,4,2,AUTOBUS|FERROCARRIL,Coronel Brandsen,67.62826151174033,1,0,1,0,0,43.0
198,4,2,AUTOBUS|FERROCARRIL,Lobos | Del Sur | Estación Lobos,108.87287452031153,1,0,1,0,0,43.0
199,3,2,AUTOBUS|FERROCARRIL,Capilla del Señor | Estación Capilla del Señor,28.447185176078648,1,0,1,0,0,41.0
200,3,2,AUTOBUS|FERROCARRIL,Doctor Francisco Beiró,6.5053305713772716,1,0,1,0,0,41.0
201,3,2,AUTOBUS|FERROCARRIL,Aristóbulo del Valle,22.31484082441012,1,0,1,0,0,41.0
202,11,2,AUTOBUS|FERROCARRIL,Universidad Nacional de Luján | Universidad de Luján | Cruce Ruta 5 | Avenida Constitución y San Vicente | Mitre y Constitución,372.37458946890956,1,0,1,0,0,57.0
203,5,2,AUTOBUS|FERROCARRIL,City Bell | Estación City Bell,79.13968604214537,1,0,1,0,0,45.0
204,6,2,AUTOBUS|FERROCARRIL,El Jagüel | Estación El Jagüel | Ruta 205 y Barberena,82.45126195078507,1,0,1,0,0,47.0
205,16,2,AUTOBUS|FERROCARRIL,Est. Monte Grande | Monte Grande | Dardo Rocha y Alem | General Rodríguez y Arana | Est. Monte Grande Sur | Est. Monte Grande Norte | Liniers Bus | Monte Grande Bus,264.58325690754305,1,0,1,0,0,65.0
206,5,2,AUTOBUS|FERROCARRIL,La Reja | Estación La Reja | Est La Reja,85.40955515907235,1,0,1,0,0,45.0
207,5,2,AUTOBUS|FERROCARRIL,Francisco Álvarez | Estación Francisco Álvarez | Plaza de la Libertad,85.48491600310805,1,0,1,0,0,45.0
208,4,2,AUTOBUS|FERROCARRIL,Ingeniero Pablo Marín | Estación Marín,92.51464922012467,1,0,1,0,0,43.0
209,9,2,AUTOBUS|FERROCARRIL,General Rodríguez | Estación General Rodríguez | Est. General Rodríguez | Yrigoyen y San Martín | Carlos Pellegrini,160.07024314998839,1,0,1,0,0,53.0
210,5,2,AUTOBUS|FERROCARRIL,Las Malvinas | Estación Las Malvinas | Cabral y Espora,118.46309750128964,1,0,1,0,0,45.0
211,3,2,AUTOBUS|FERROCARRIL,Gowland,6.811859850165213,1,0,1,0,0,41.0
212,3,2,AUTOBUS|FERROCARRIL,Olivera,7.739723339808367,1,0,1,0,0,41.0
213,3,2,AUTOBUS|FERROCARRIL,Jáuregui,10.01414617282132,1,0,1,0,0,41.0
214,5,2,AUTOBUS|FERROCARRIL,Lezica y Torrezuri | Barrio Los Laureles,79.30451152713844,1,0,1,0,0,45.0
215,7,2,AUTOBUS|FERROCARRIL,San Fernando C | Lavalle y 9 de Julio | Besares e Yrigoyen | 9 de Julio y Besares | Plaza San Martín,193.4324597076151,1,0,1,0,0,49.0
216,23,2,AUTOBUS|FERROCARRIL,La Plata | 1 y 46 | 43 y 116 | Avenida 1 y Avenida 44 | 80 y 116 | 80 y 115 | Estación de Trenes | Estación La Plata | FC Roca,350.8373142696797,1,0,1,0,0,65.0
217,3,2,AUTOBUS|FERROCARRIL,Arquitectura | FC Roca,48.62277808236199,1,0,1,0,0,41.0
218,4,2,AUTOBUS|FERROCARRIL,Informática | FC Roca,98.34967411829395,1,0,1,0,0,43.0
219,9,2,AUTOBUS|FLUVIAL,Puente Avellaneda | Puente Nicolas Avellaneda | Mendoza y Brown | Puente Transbordador Nicolás Avellaneda | Botero del Riachuelo,82.29797096924071,0,0,1,1,0,53.0
220,7,2,AUTOBUS|FERROCARRIL,Policlínico | 72 y 1 | 1 y 71,141.63696981556404,1,0,1,0,0,49.0
221,3,2,AUTOBUS|FERROCARRIL,Diagonal 73,65.63219973262336,1,0,1,0,0,41.0
222,6,2,AUTOBUS|FERROCARRIL,Luján | Estación Luján | Avenida España y Güemes | Casey y Sparapani,128.31415684099744,1,0,1,0,0,47.0
223,2,2,AUTOBUS|FERROCARRIL,Zapiola,20.609447136875666,1,0,1,0,0,39.0
224,2,2,AUTOBUS|FERROCARRIL,Uribelarrea,3.4149623516416194,1,0,1,0,0,39.0
225,6,2,AUTOBUS|FERROCARRIL,Cañuelas | Doctor Ignacio Arieta,36.45110248013428,1,0,1,0,0,47.0
226,47,3,AUTOBUS|FERROCARRIL|SUBTE,Recoleta | Las Heras | Rodríguez Peña y Juncal | Callao y Juncal | Callao y Pacheco de Melo | Facultad de Ingeniería | Las Heras y Laprida | Las Heras y Uriburu | Las Heras y Callao | Las Heras y Pueyrredón,688.828521770158,1,1,1,0,0,82.5
227,18,2,AUTOBUS|FERROCARRIL,Hurlingham | Rubén Darío | Estación Hurlingham | Estación Rubén Darío | Hurlingham Club | Jauretche y Newbery | Roca y Crucero Belgrano,298.1921072237817,1,0,1,0,0,65.0
228,4,2,AUTOBUS|FERROCARRIL,Jorge Newbery,85.98959252966671,1,0,1,0,0,43.0
229,6,2,AUTOBUS|FERROCARRIL,Tapiales | Terminal Tapiales | Estación Tapiales | Rutatlántica,78.55967029775049,1,0,1,0,0,47.0
230,4,2,AUTOBUS|FERROCARRIL,Marcos Paz (Belgrano) | Marcos Paz - Braian Toledo,26.894497652970088,1,0,1,0,0,43.0
231,4,2,AUTOBUS|FERROCARRIL,Ingeniero Otamendi | Ingeniero Romulo Otamendi,7.461014014308588,1,0,1,0,0,43.0
232,58,2,AUTOBUS|FERROCARRIL,Morón | Plaza La Roche | 25 de Mayo y Brown | Salta al 200 | Uruguay y Buen Viaje | Uruguay y Pellegrini | 9 de Julio y Brown | Brown y 25 de Mayo | 9 de Julio y Bartolomé Mitre | Cabildo y Machado,783.8703925569102,1,0,1,0,0,65.0
233,8,2,AUTOBUS|FERROCARRIL,Ezpeleta | San Martín y Sobral | Estación Ezpeleta,220.03678762280214,1,0,1,0,0,51.0
234,2,2,AUTOBUS|FERROCARRIL,20 de Junio,26.9309503423763,1,0,1,0,0,39.0
235,5,2,AUTOBUS|FERROCARRIL,Rafael Calzada,27.292111477756436,1,0,1,0,0,45.0
236,12,2,AUTOBUS|FERROCARRIL,Alejandro Korn,122.38989399118486,1,0,1,0,0,59.0
237,3,2,AUTOBUS|FERROCARRIL,Doctor Albert Schweitzer,5.574458331313361,1,0,1,0,0,41.0
