id_h3,operaciones_totales,ranking_perfil,percentil_demanda,categoria_demanda,hora_pico,operaciones_hora_pico,pct_hora_pico,franja_dominante,perfil_temporal,modo_dominante,pct_modo_dominante,cantidad_modos,indice_dominancia_modal,perfil_nodo,prioridad_analitica
88c2e31117fffff,23775,70,98.98305084745763,HOTSPOT_ALTO,18,1838,7.7308096740273395,MEDIODIA,DIURNO,COLECTIVO,75.76866456361725,2,0.7576866456361725,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e311d9fffff,23449,71,98.96831245394252,HOTSPOT_ALTO,18,2088,8.904430892575377,MEDIODIA,DIURNO,COLECTIVO,67.85363981406456,2,0.6785363981406456,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e31137fffff,23170,72,98.95357406042741,HOTSPOT_ALTO,17,3809,16.43936124298662,TARDE,VESPERTINO,SUBTE,77.03064307293914,2,0.7703064307293914,HOTSPOT_ALTO_VESPERTINO,PRIORIDAD_ALTA
88c2e33745fffff,22992,73,98.93883566691231,HOTSPOT_ALTO,17,2261,9.833855254001392,MEDIODIA,DIURNO,COLECTIVO,99.84342379958247,2,0.9984342379958246,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e31003fffff,22892,74,98.92409727339721,HOTSPOT_ALTO,7,2063,9.011881880132798,MEDIODIA,DIURNO,COLECTIVO,52.2191158483313,2,0.522191158483313,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e3aecbfffff,22749,75,98.90935887988209,HOTSPOT_ALTO,7,2688,11.815903995780035,MANANA,MATUTINO,COLECTIVO,64.95670139346784,2,0.6495670139346784,HOTSPOT_ALTO_MATUTINO,PRIORIDAD_ALTA
88c2e314b1fffff,22728,76,98.89462048636699,HOTSPOT_ALTO,7,2199,9.675290390707497,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e311cdfffff,22490,77,98.87988209285187,HOTSPOT_ALTO,17,1820,8.092485549132949,MEDIODIA,DIURNO,COLECTIVO,82.53445975989328,2,0.8253445975989329,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e31065fffff,22431,78,98.86514369933678,HOTSPOT_ALTO,7,2697,12.023538852480941,MANANA,MATUTINO,COLECTIVO,53.78716954215149,2,0.5378716954215149,HOTSPOT_ALTO_MATUTINO,PRIORIDAD_ALTA
88c2e38d67fffff,22132,79,98.85040530582167,HOTSPOT_ALTO,7,2391,10.803361648292066,MANANA,MATUTINO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_MATUTINO,PRIORIDAD_ALTA
88c2e31707fffff,22074,80,98.83566691230656,HOTSPOT_ALTO,17,2170,9.83056990124128,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e3ae6dfffff,21731,81,98.82092851879145,HOTSPOT_ALTO,18,2064,9.497952234135566,MEDIODIA,DIURNO,COLECTIVO,66.2325709815471,2,0.662325709815471,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e315c5fffff,21635,82,98.80619012527634,HOTSPOT_ALTO,7,2557,11.818812110006933,MANANA,MATUTINO,COLECTIVO,52.29951467529466,2,0.5229951467529466,HOTSPOT_ALTO_MATUTINO,PRIORIDAD_ALTA
88c2e314d3fffff,21236,83,98.79145173176124,HOTSPOT_ALTO,7,2022,9.521567150122435,MEDIODIA,DIURNO,COLECTIVO,53.51290261819551,2,0.5351290261819551,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e38eb1fffff,20831,84,98.77671333824614,HOTSPOT_ALTO,7,2068,9.927511881330709,MEDIODIA,DIURNO,TREN,71.35039124381932,2,0.7135039124381932,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e3165bfffff,20756,85,98.76197494473102,HOTSPOT_ALTO,17,2023,9.7465793023704,MEDIODIA,DIURNO,TREN,50.56851031027173,2,0.5056851031027173,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e06cd9fffff,20676,86,98.74723655121592,HOTSPOT_ALTO,7,1937,9.36834977751983,MEDIODIA,DIURNO,TREN,73.11859160379184,2,0.7311859160379184,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e39907fffff,20645,87,98.7324981577008,HOTSPOT_ALTO,17,2314,11.208525066602084,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e3ba19fffff,20176,88,98.71775976418571,HOTSPOT_ALTO,18,1722,8.534892942109437,TARDE,VESPERTINO,TREN,51.46213322759714,2,0.5146213322759714,HOTSPOT_ALTO_VESPERTINO,PRIORIDAD_ALTA
88c2e3d4a5fffff,20122,89,98.7030213706706,HOTSPOT_ALTO,12,2080,10.33694463770997,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e311ebfffff,20055,90,98.6882829771555,HOTSPOT_ALTO,18,1580,7.87833457990526,MEDIODIA,DIURNO,COLECTIVO,79.9950137122912,2,0.799950137122912,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e31467fffff,19980,91,98.67354458364038,HOTSPOT_ALTO,17,1841,9.214214214214214,MEDIODIA,DIURNO,COLECTIVO,64.12412412412412,2,0.6412412412412413,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e311c9fffff,19878,92,98.65880619012528,HOTSPOT_ALTO,17,1642,8.260388369051212,MEDIODIA,DIURNO,COLECTIVO,70.25354663447027,2,0.7025354663447027,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e311e9fffff,19774,93,98.64406779661017,HOTSPOT_ALTO,17,1976,9.992919995954283,MEDIODIA,DIURNO,COLECTIVO,70.11226863558207,2,0.7011226863558206,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e3c429fffff,19752,94,98.62932940309507,HOTSPOT_ALTO,17,2073,10.495139732685297,MEDIODIA,DIURNO,TREN,60.53564196030782,2,0.6053564196030782,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e380ddfffff,19674,95,98.61459100957995,HOTSPOT_ALTO,18,1710,8.69167429094236,MEDIODIA,DIURNO,TREN,66.34644708752668,2,0.6634644708752668,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e3ab17fffff,19644,96,98.59985261606485,HOTSPOT_ALTO,18,1843,9.381999592750967,MEDIODIA,DIURNO,TREN,56.1087354917532,2,0.561087354917532,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e31325fffff,19640,97,98.58511422254975,HOTSPOT_ALTO,17,2245,11.430753564154786,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e38b23fffff,19165,98,98.57037582903465,HOTSPOT_ALTO,7,1702,8.88077224106444,MEDIODIA,DIURNO,TREN,52.35063918601618,2,0.5235063918601618,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e311e7fffff,19156,99,98.55563743551953,HOTSPOT_ALTO,18,1772,9.250365420755898,MEDIODIA,DIURNO,COLECTIVO,100.0,1,1.0,HOTSPOT_ALTO_DIURNO,PRIORIDAD_ALTA
88c2e380ebfffff,19146,100,98.54089904200443,HOTSPOT_ALTO,6,1930,10.080434555520736,TARDE,VESPERTINO,COLECTIVO,51.20651833281104,2,0.5120651833281104,HOTSPOT_ALTO_VESPERTINO,PRIORIDAD_ALTA
