id,id_h3,hora,modo,cantidad_trx
370,88c2e31189fffff,0,COLECTIVO,53
371,88c2e3118bfffff,0,COLECTIVO,41
372,88c2e3118dfffff,0,COLECTIVO,25
373,88c2e31191fffff,0,COLECTIVO,37
374,88c2e31193fffff,0,COLECTIVO,54
375,88c2e31195fffff,0,COLECTIVO,337
376,88c2e31197fffff,0,COLECTIVO,38
377,88c2e31199fffff,0,COLECTIVO,11
378,88c2e3119bfffff,0,COLECTIVO,43
379,88c2e3119dfffff,0,COLECTIVO,82
380,88c2e311a1fffff,0,COLECTIVO,17
381,88c2e311a3fffff,0,COLECTIVO,1
382,88c2e311a7fffff,0,COLECTIVO,1
383,88c2e311a9fffff,0,COLECTIVO,174
384,88c2e311abfffff,0,COLECTIVO,130
385,88c2e311adfffff,0,COLECTIVO,126
386,88c2e311b3fffff,0,COLECTIVO,15
387,88c2e311b5fffff,0,COLECTIVO,2
388,88c2e311b9fffff,0,COLECTIVO,67
389,88c2e311bbfffff,0,COLECTIVO,82
390,88c2e311bdfffff,0,COLECTIVO,17
391,88c2e311c1fffff,0,COLECTIVO,156
392,88c2e311c3fffff,0,COLECTIVO,124
393,88c2e311c5fffff,0,COLECTIVO,109
394,88c2e311c7fffff,0,COLECTIVO,72
395,88c2e311c9fffff,0,COLECTIVO,73
396,88c2e311cbfffff,0,COLECTIVO,59
397,88c2e311cdfffff,0,COLECTIVO,156
398,88c2e311d1fffff,0,COLECTIVO,37
399,88c2e311d3fffff,0,COLECTIVO,123
400,88c2e311d5fffff,0,COLECTIVO,89
401,88c2e311d7fffff,0,COLECTIVO,171
402,88c2e311d9fffff,0,COLECTIVO,208
403,88c2e311dbfffff,0,COLECTIVO,274
404,88c2e311ddfffff,0,COLECTIVO,49
405,88c2e311e1fffff,0,COLECTIVO,192
406,88c2e311e3fffff,0,COLECTIVO,213
407,88c2e311e5fffff,0,COLECTIVO,170
408,88c2e311e7fffff,0,COLECTIVO,176
409,88c2e311e9fffff,0,COLECTIVO,50
410,88c2e311ebfffff,0,COLECTIVO,106
411,88c2e311edfffff,0,COLECTIVO,150
412,88c2e31203fffff,0,COLECTIVO,6
413,88c2e3120bfffff,0,COLECTIVO,5
414,88c2e3120dfffff,0,COLECTIVO,9
415,88c2e31211fffff,0,COLECTIVO,1
416,88c2e31213fffff,0,COLECTIVO,20
417,88c2e31215fffff,0,COLECTIVO,8
418,88c2e31217fffff,0,COLECTIVO,1
419,88c2e31219fffff,0,COLECTIVO,3
420,88c2e3121bfffff,0,COLECTIVO,9
421,88c2e3121dfffff,0,COLECTIVO,19
