ranking_final_proyecto_v4,proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_escenario,prioridad_territorial_v4,prioridad_operativa_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,score_final_proyecto_v4
40,AMBA-P144,AMBA-E003,ESCENARIO_DE_NECESIDAD,IMPACTO,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,IMPACTO_TERRITORIAL,MEDIANO_PLAZO,51.31376362946839
41,AMBA-P002,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
42,AMBA-P007,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
43,AMBA-P014,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
44,AMBA-P017,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
45,AMBA-P025,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
46,AMBA-P029,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
47,AMBA-P034,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
48,AMBA-P046,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
49,AMBA-P048,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
50,AMBA-P069,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
51,AMBA-P076,AMBA-E004,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,50.59085007835929
