ranking_final_proyecto_v4,proyecto_id,escenario_id,tipo_escenario,dimension_dominante,prioridad_escenario,prioridad_territorial_v4,prioridad_operativa_v4,categoria_cartera_v4,linea_estrategica_v4,horizonte_intervencion_v4,score_final_proyecto_v4
76,AMBA-P101,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
77,AMBA-P112,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
78,AMBA-P123,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
79,AMBA-P125,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
80,AMBA-P133,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
81,AMBA-P139,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
82,AMBA-P141,AMBA-E002,ESCENARIO_ESTRATEGICO,CONECTIVIDAD,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,CONECTIVIDAD_METROPOLITANA,MEDIANO_PLAZO,49.49171547237356
83,AMBA-P032,AMBA-E005,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,45.43916814105151
84,AMBA-P035,AMBA-E005,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,45.43916814105151
85,AMBA-P039,AMBA-E005,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,45.43916814105151
86,AMBA-P041,AMBA-E005,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,45.43916814105151
87,AMBA-P047,AMBA-E005,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,45.43916814105151
88,AMBA-P049,AMBA-E005,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,45.43916814105151
89,AMBA-P051,AMBA-E005,ESCENARIO_DE_NECESIDAD,DEFICIT,PRIORIDAD_3_MEDIA,PRIORIDAD_3_MEDIA,INTERVENCION_PROGRAMADA,P3_PROGRAMADA,REDUCCION_DE_BRECHAS,MEDIANO_PLAZO,45.43916814105151
