id_h3,provincia,jurisdiccion,operaciones_totales,categoria_demanda,hora_pico,modo_dominante,metodo_asignacion,distancia_asignacion_m
88c2eedb13fffff,Buenos Aires,Pilar,126,DEMANDA_MEDIA,18,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3ada7fffff,Buenos Aires,Escobar,126,DEMANDA_MEDIA,6,COLECTIVO,REPRESENTATIVE_POINT,
88c2eec9b5fffff,Buenos Aires,Campana,126,DEMANDA_MEDIA,13,COLECTIVO,REPRESENTATIVE_POINT,
88c2ee8da7fffff,Buenos Aires,San Antonio de Areco,126,DEMANDA_MEDIA,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e06da3fffff,Buenos Aires,Florencio Varela,126,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38b53fffff,Buenos Aires,Lomas de Zamora,126,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e399e9fffff,Buenos Aires,Almirante Brown,125,DEMANDA_MEDIA,15,COLECTIVO,REPRESENTATIVE_POINT,
88c2e2375dfffff,Buenos Aires,Berisso,125,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c261fffff,Buenos Aires,Berazategui,125,DEMANDA_MEDIA,14,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3833dfffff,Buenos Aires,Ezeiza,125,DEMANDA_MEDIA,22,COLECTIVO,REPRESENTATIVE_POINT,
88c2e2a53bfffff,Buenos Aires,La Plata,125,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38621fffff,Buenos Aires,La Matanza,125,DEMANDA_MEDIA,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e398cdfffff,Buenos Aires,Esteban Echeverría,124,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3acbdfffff,Buenos Aires,Pilar,124,DEMANDA_MEDIA,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3b929fffff,Buenos Aires,Hurlingham,124,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3ba1dfffff,Buenos Aires,Moreno,124,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3aeb3fffff,Buenos Aires,Pilar,124,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d849fffff,Buenos Aires,La Plata,124,DEMANDA_MEDIA,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e331e7fffff,Buenos Aires,Tigre,124,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3a0e1fffff,Buenos Aires,Pilar,124,DEMANDA_MEDIA,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c2a7fffff,Buenos Aires,Berazategui,124,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2eeda39fffff,Buenos Aires,Pilar,124,DEMANDA_MEDIA,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e30697fffff,Buenos Aires,Tigre,123,DEMANDA_MEDIA,16,COLECTIVO,REPRESENTATIVE_POINT,
88c2e38aa3fffff,Buenos Aires,Esteban Echeverría,123,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e06e55fffff,Buenos Aires,San Vicente,123,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2ee5239fffff,Buenos Aires,Campana,122,DEMANDA_MEDIA,5,COLECTIVO,REPRESENTATIVE_POINT,
88c2e0652bfffff,Buenos Aires,San Vicente,122,DEMANDA_MEDIA,5,COLECTIVO,REPRESENTATIVE_POINT,
88c2eed869fffff,Buenos Aires,Pilar,122,DEMANDA_MEDIA,13,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3d0b1fffff,Buenos Aires,Florencio Varela,122,DEMANDA_MEDIA,14,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3c401fffff,Buenos Aires,Quilmes,122,DEMANDA_MEDIA,6,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3b5d7fffff,Buenos Aires,General Rodríguez,122,DEMANDA_MEDIA,7,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3aa21fffff,Buenos Aires,Malvinas Argentinas,122,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
88c2ee52bdfffff,Buenos Aires,Zárate,122,DEMANDA_MEDIA,8,COLECTIVO,REPRESENTATIVE_POINT,
88c2e306cdfffff,Buenos Aires,Tigre,122,DEMANDA_MEDIA,13,COLECTIVO,REPRESENTATIVE_POINT,
88c2ee570dfffff,Buenos Aires,Zárate,121,DEMANDA_MEDIA,17,COLECTIVO,REPRESENTATIVE_POINT,
88c2e3dad7fffff,Buenos Aires,La Plata,121,DEMANDA_MEDIA,12,COLECTIVO,REPRESENTATIVE_POINT,
